TIME; AESA DEMAND(º);BULK DEMAND(º);AESA Current Position PRM(º);Bulk Current Position PRM(º);AESA Current Position EST(rad);Bulk Current Position EST(rad);AESA Current Velocity EST(rad/s);Bulk Current Velocity EST(rad/s);AESA Integral Control;Bulk Integral Control;AESA Disturbance EST;Bulk Disturbance EST;AESA Torque;Bulk Torque;AESA Control Mode;Bulk Control Mode;MSG Counter; MDU Status
1045.754761; 1.884155; -9.486694; 1.307373; -1.713867; 0.026497; -0.033782; 0.939201; -0.979900; 0.121457; -0.222610; -1.599149; 2.076340; 4.864040; -2.770165; 0; 0; 173; 64; 
1045.758789; 2.136841; -10.310669; 1.505127; -1.939087; 0.030158; -0.037807; 0.985239; -1.000309; 0.132482; -0.368722; -1.730448; 2.026329; 4.830164; -2.663350; 0; 0; 174; 64; 
1045.762817; 2.400513; -10.722656; 1.708374; -2.175293; 0.033825; -0.042057; 1.009656; -1.034183; 0.144563; -0.517901; -1.957256; 1.896220; 4.949492; -2.920316; 0; 0; 175; 64; 
1045.766846; 2.669678; -11.140137; 1.922607; -2.416992; 0.037692; -0.046342; 1.042329; -1.065168; 0.157578; -0.670101; -2.123485; 1.830971; 5.294656; -2.971892; 0; 0; 176; 64; 
1045.770874; 2.949829; -11.546631; 2.147827; -2.664185; 0.041757; -0.050800; 1.085150; -1.103352; 0.171528; -0.825177; -2.255708; 1.741497; 5.650807; -2.895596; 0; 0; 177; 64; 
1045.774780; 3.235474; -11.958618; 2.384033; -2.922363; 0.046124; -0.055481; 1.145354; -1.148862; 0.186388; -0.982937; -2.319522; 1.613342; 5.929441; -2.665792; 0; 0; 178; 64; 
1045.778809; 3.537598; -11.958618; 2.636719; -3.186035; 0.050734; -0.060293; 1.209366; -1.186864; 0.202111; -1.136048; -2.387733; 1.510584; 6.032899; -2.039247; 0; 0; 179; 64; 
1045.782837; 3.839722; -12.788086; 2.894897; -3.460693; 0.055446; -0.065131; 1.257906; -1.201778; 0.218673; -1.298890; -2.542965; 1.461745; 5.936766; -1.695608; 0; 0; 180; 64; 
1045.786865; 4.158325; -13.200073; 3.158569; -3.740845; 0.060211; -0.070092; 1.286985; -1.217300; 0.236123; -1.464032; -2.770470; 1.370708; 5.833918; -1.908322; 0; 0; 181; 64; 
1045.790894; 4.482422; -13.612061; 3.433228; -4.026489; 0.065119; -0.075166; 1.312378; -1.243939; 0.254411; -1.631379; -2.973874; 1.259354; 5.945921; -1.997131; 0; 0; 182; 64; 
1045.794922; 4.812012; -14.024048; 3.718872; -4.317627; 0.070275; -0.080438; 1.350919; -1.283775; 0.273466; -1.800788; -3.091757; 1.102677; 6.237678; -1.885434; 0; 0; 183; 64; 
1045.798950; 5.158081; -14.436035; 4.020996; -4.625244; 0.075767; -0.085944; 1.411157; -1.331855; 0.293264; -1.972067; -3.111117; 0.906538; 6.520280; -1.548204; 0; 0; 184; 64; 
1045.802856; 5.504150; -14.436035; 4.334106; -4.932861; 0.081399; -0.091430; 1.465663; -1.355304; 0.313757; -2.137977; -3.193770; 0.822143; 6.595355; -0.871914; 0; 0; 185; 64; 
1045.806885; 5.850220; -15.260010; 4.647217; -5.234985; 0.087070; -0.096734; 1.501305; -1.338894; 0.334777; -2.312946; -3.376978; 0.872936; 6.317942; -0.696432; 0; 0; 186; 64; 
1045.810913; 6.201782; -15.671997; 4.965820; -5.542603; 0.092696; -0.101987; 1.508938; -1.319690; 0.356277; -2.489786; -3.652773; 0.909663; 5.888241; -1.302835; 0; 0; 187; 64; 
1045.814941; 6.553345; -16.083984; 5.295410; -5.850220; 0.098471; -0.107436; 1.515330; -1.339562; 0.378232; -2.668398; -3.842949; 0.812375; 5.779290; -1.769463; 0; 0; 188; 64; 
1045.818970; 6.915894; -16.495972; 5.641479; -6.168823; 0.104581; -0.113087; 1.547715; -1.382866; 0.400498; -2.848689; -3.850595; 0.662731; 6.027406; -1.822565; 0; 0; 189; 72; 
1045.822998; 7.278442; -16.913452; 5.993042; -6.481934; 0.110906; -0.118713; 1.593210; -1.409668; 0.422933; -3.030754; -3.815974; 0.626394; 6.214179; -1.640980; 0; 0; 190; 72; 
1045.827026; 7.640991; -16.913452; 6.344604; -6.800537; 0.117212; -0.124269; 1.622064; -1.415306; 0.445511; -3.207305; -3.899957; 0.683439; 6.150700; -1.242714; 0; 0; 191; 72; 
1045.830933; 8.003540; -17.737427; 6.701660; -7.119141; 0.123444; -0.129833; 1.628479; -1.410527; 0.468281; -3.392677; -4.087012; 0.736576; 6.024354; -1.217994; 0; 0; 192; 72; 
1045.834961; 8.382568; -18.149414; 7.075195; -7.443237; 0.130115; -0.135584; 1.671363; -1.425504; 0.491099; -3.579535; -4.031979; 0.674062; 5.829951; -1.621754; 0; 0; 193; 72; 
1045.838989; 8.772583; -18.561401; 7.465210; -7.783813; 0.137117; -0.141634; 1.727696; -1.473979; 0.513917; -3.767688; -3.882728; 0.492770; 5.590381; -1.614734; 0; 0; 194; 76; 
1045.843018; 9.162598; -18.973389; 7.860718; -8.124390; 0.144227; -0.147727; 1.769980; -1.510123; 0.536639; -3.957087; -3.796627; 0.398607; 5.440535; -1.287881; 0; 0; 195; 68; 
1045.847046; 9.552612; -19.390869; 8.250732; -8.464966; 0.151122; -0.153802; 1.771467; -1.524881; 0.559385; -4.147684; -3.925095; 0.387277; 5.473189; -0.987884; 0; 0; 196; 68; 
1045.851074; 9.948120; -19.390869; 8.657227; -8.805542; 0.158209; -0.159727; 1.790141; -1.512640; 0.581963; -4.332337; -3.946279; 0.482220; 5.445418; -0.654317; 0; 0; 197; 68; 
1045.854980; 10.343628; -20.209351; 9.069214; -9.146118; 0.165629; -0.165610; 1.834353; -1.492862; 0.604158; -4.525427; -3.819566; 0.561926; 4.877468; -0.805689; 0; 0; 198; 68; 
1045.859009; 10.739136; -20.626831; 9.492188; -9.492188; 0.173041; -0.171653; 1.850931; -1.498986; 0.626017; -4.719668; -3.785547; 0.513087; 4.153569; -1.393170; 0; 0; 199; 68; 
1045.863037; 11.134644; -21.038818; 9.904175; -9.832764; 0.180192; -0.177604; 1.820972; -1.505552; 0.647540; -4.915250; -3.917111; 0.544735; 3.972900; -1.738334; 0; 0; 200; 64; 
1045.867065; 11.530151; -21.450806; 10.327148; -10.173340; 0.187518; -0.183514; 1.815472; -1.511255; 0.668537; -5.112127; -3.874455; 0.621706; 4.165777; -1.977599; 0; 0; 201; 64; 
1045.871094; 11.914673; -21.868286; 10.750122; -10.508423; 0.195024; -0.189363; 1.835224; -1.511458; 0.688862; -5.310347; -3.723688; 0.749079; 4.156621; -2.201300; 0; 0; 202; 64; 
1045.875122; 12.304688; -21.868286; 11.173096; -10.843506; 0.202431; -0.195288; 1.839202; -1.521240; 0.708611; -5.502670; -3.677422; 0.837772; 4.007385; -2.085025; 0; 0; 203; 64; 
1045.879150; 12.705688; -22.686768; 11.596069; -11.189575; 0.209812; -0.201342; 1.836971; -1.536340; 0.727906; -5.703382; -3.651751; 0.870982; 4.036378; -2.031312; 0; 0; 204; 64; 
1045.883057; 13.112183; -23.098755; 12.041016; -11.541138; 0.217689; -0.207574; 1.887451; -1.561647; 0.746578; -5.905148; -3.342908; 0.837772; 3.948790; -2.221747; 0; 0; 205; 64; 
1045.887085; 13.513184; -23.510742; 12.485962; -11.887207; 0.225612; -0.213703; 1.925867; -1.570197; 0.764554; -6.108016; -3.127224; 0.922557; 3.485824; -2.249214; 0; 0; 206; 64; 
1045.891113; 13.914185; -23.922729; 12.919922; -12.238770; 0.233156; -0.219802; 1.904839; -1.571086; 0.781979; -6.311988; -3.205027; 1.040553; 3.142491; -2.334971; 0; 0; 207; 64; 
1045.895142; 14.326172; -24.334717; 13.359375; -12.595825; 0.240819; -0.226101; 1.896851; -1.591570; 0.798876; -6.516919; -3.156931; 1.049539; 3.232826; -2.378002; 0; 0; 208; 64; 
1045.899170; 14.743652; -24.334717; 13.815308; -12.952881; 0.248860; -0.232454; 1.933449; -1.609691; 0.815103; -6.715569; -2.881656; 1.074936; 3.264870; -1.988586; 0; 0; 209; 64; 
1045.903198; 15.150146; -25.164185; 14.265747; -13.309937; 0.256794; -0.238607; 1.949697; -1.591716; 0.830587; -6.922513; -2.756986; 1.238646; 2.862026; -1.919309; 0; 0; 210; 64; 
1045.907227; 15.562134; -25.576172; 14.710693; -13.666992; 0.264529; -0.244795; 1.933505; -1.580296; 0.845471; -7.130414; -2.774008; 1.337497; 2.406079; -2.475051; 0; 0; 211; 64; 
1045.911133; 15.979614; -25.988159; 15.161133; -14.029541; 0.272402; -0.251169; 1.929282; -1.601495; 0.859757; -7.339180; -2.664054; 1.321868; 2.300180; -2.793970; 0; 0; 212; 64; 
1045.915161; 16.391602; -26.400146; 15.617065; -14.386597; 0.280313; -0.257502; 1.930833; -1.616265; 0.873347; -7.548856; -2.522988; 1.383601; 2.395093; -2.856838; 0; 0; 213; 64; 
1045.919189; 16.809082; -26.812134; 16.067505; -14.749146; 0.288167; -0.263886; 1.930424; -1.630168; 0.886313; -7.759395; -2.423488; 1.449632; 2.513504; -2.837306; 0; 0; 214; 64; 
1045.923218; 17.221069; -26.812134; 16.512451; -15.111694; 0.296005; -0.270237; 1.932550; -1.633208; 0.898681; -7.963606; -2.338452; 1.562158; 2.577593; -2.530290; 0; 0; 215; 64; 
1045.927246; 17.644043; -27.641602; 16.973877; -15.479736; 0.304109; -0.276617; 1.963759; -1.629867; 0.910353; -8.175823; -2.112577; 1.653977; 2.307810; -2.489395; 0; 0; 216; 64; 
1045.931274; 18.067017; -28.048096; 17.435303; -15.853271; 0.312260; -0.283185; 1.986104; -1.644643; 0.921403; -8.388711; -1.928442; 1.631706; 1.817682; -2.812586; 0; 0; 217; 64; 
1045.935181; 18.489990; -28.460083; 17.885742; -16.221313; 0.320054; -0.289684; 1.956806; -1.652927; 0.931973; -8.602318; -1.987881; 1.688750; 1.684317; -2.930692; 0; 0; 218; 64; 
1045.939209; 18.907471; -28.877563; 18.336182; -16.589355; 0.327859; -0.296106; 1.937132; -1.651036; 0.941968; -8.816692; -1.970408; 1.807919; 1.886349; -3.047273; 0; 0; 219; 64; 
1045.943237; 19.330444; -29.289551; 18.797607; -16.962891; 0.335895; -0.302595; 1.953492; -1.656686; 0.951316; -9.031881; -1.783967; 1.886453; 1.934263; -3.181249; 0; 0; 220; 64; 
1045.947266; 19.753418; -29.289551; 19.248047; -17.336426; 0.343854; -0.309226; 1.959626; -1.675715; 0.960160; -9.240503; -1.683714; 1.900518; 1.877499; -2.894070; 0; 0; 221; 64; 
1045.951294; 20.181885; -30.119019; 19.692993; -17.715454; 0.351551; -0.315823; 1.937137; -1.677559; 0.968668; -9.456939; -1.746563; 1.966549; 2.017579; -2.729575; 0; 0; 222; 64; 
1045.955322; 20.604858; -30.525513; 20.148926; -18.088989; 0.359515; -0.322372; 1.952748; -1.669161; 0.976650; -9.673997; -1.610612; 2.057195; 2.027650; -3.081759; 0; 0; 223; 64; 
1045.959351; 21.033325; -30.937500; 20.604858; -18.468018; 0.367574; -0.328928; 1.974437; -1.670048; 0.984080; -9.891678; -1.459518; 2.132603; 1.672109; -3.374432; 0; 0; 224; 64; 
1045.963257; 21.456299; -31.349487; 21.049805; -18.847046; 0.375201; -0.335587; 1.938951; -1.685365; 0.991223; -10.109934; -1.595771; 2.159172; 1.620533; -3.509018; 0; 0; 225; 64; 
1045.967285; 21.890259; -31.761475; 21.494751; -19.231567; 0.382956; -0.342461; 1.927799; -1.718567; 0.998126; -10.328622; -1.575013; 2.103690; 2.143010; -3.384198; 0; 0; 226; 64; 
1045.971313; 22.324219; -31.761475; 21.950684; -19.616089; 0.390995; -0.349221; 1.960540; -1.724822; 1.004598; -10.540599; -1.383859; 2.182224; 2.449110; -2.871181; 0; 0; 227; 64; 
1045.975342; 22.752686; -31.761475; 22.406616; -20.000610; 0.399067; -0.355904; 1.992477; -1.709222; 1.010638; -10.745865; -1.260618; 2.300220; 2.070986; -2.131108; 0; 0; 228; 64; 
1045.979370; 23.192139; -31.761475; 22.857056; -20.396118; 0.406869; -0.362740; 1.978681; -1.699080; 1.016510; -10.944276; -1.354628; 2.277559; 1.581164; -1.366619; 0; 0; 229; 64; 
1045.983398; 23.631592; -33.409424; 23.307495; -20.791626; 0.414748; -0.369599; 1.967565; -1.681202; 1.022143; -11.164546; -1.358263; 2.199807; 1.311380; -1.835383; 0; 0; 230; 64; 
1045.987427; 24.071045; -33.826904; 23.763428; -21.181641; 0.422651; -0.376407; 1.958315; -1.676033; 1.027488; -11.385247; -1.316422; 2.125962; 1.136509; -3.174535; 0; 0; 231; 64; 
1045.991333; 24.488525; -34.238892; 24.202881; -21.560669; 0.430128; -0.382976; 1.906761; -1.675858; 1.032545; -11.606524; -1.490680; 2.209965; 1.355937; -3.913083; 0; 0; 232; 64; 
1045.995361; 24.916992; -34.650879; 24.631348; -21.945190; 0.437475; -0.389717; 1.864207; -1.706123; 1.037459; -11.828327; -1.623523; 2.216608; 2.196417; -4.180425; 0; 0; 233; 64; 
1045.999390; 25.345459; -35.062866; 25.081787; -22.329712; 0.445382; -0.396618; 1.910003; -1.745343; 1.042061; -12.050562; -1.363904; 2.208403; 2.965484; -4.003113; 0; 0; 234; 64; 
1046.003418; 25.779419; -35.062866; 25.532227; -22.725220; 0.453417; -0.403670; 1.969269; -1.780493; 1.046447; -12.265894; -1.162346; 2.198635; 3.087558; -3.267006; 0; 0; 235; 64; 
1046.007446; 26.224365; -35.886841; 25.977173; -23.126221; 0.461373; -0.410747; 2.001931; -1.789602; 1.050713; -12.488609; -1.147003; 2.232236; 2.817164; -2.729881; 0; 0; 236; 64; 
1046.011475; 26.669312; -36.298828; 26.433105; -23.532715; 0.469485; -0.417858; 2.032095; -1.787355; 1.054812; -12.711420; -1.110677; 2.251772; 2.320627; -2.791528; 0; 0; 237; 64; 
1046.015381; 27.119751; -36.710815; 26.889038; -23.944702; 0.477430; -0.425009; 2.023935; -1.790903; 1.058815; -12.934278; -1.224066; 2.245911; 1.938536; -2.851955; 0; 0; 238; 64; 
1046.019409; 27.564697; -37.128296; 27.339478; -24.351196; 0.485159; -0.432094; 1.987781; -1.787497; 1.062745; -13.157233; -1.427329; 2.285764; 2.024903; -2.919095; 0; 0; 239; 64; 
1046.023438; 28.004150; -37.534790; 27.778931; -24.752197; 0.492686; -0.439110; 1.943755; -1.779002; 1.066700; -13.380331; -1.660324; 2.356484; 2.501297; -3.058565; 0; 0; 240; 64; 
1046.027466; 28.454590; -37.534790; 28.234863; -25.164185; 0.500691; -0.446284; 1.971563; -1.791528; 1.070511; -13.596287; -1.531267; 2.324054; 2.858364; -2.833949; 0; 0; 241; 64; 
1046.031494; 28.905029; -38.369751; 28.690796; -25.581665; 0.508759; -0.453667; 2.003459; -1.816605; 1.074274; -13.819433; -1.441970; 2.199025; 2.879727; -2.558367; 0; 0; 242; 64; 
1046.035522; 29.355469; -38.776245; 29.135742; -25.993652; 0.516544; -0.460855; 1.995199; -1.808341; 1.078061; -14.042580; -1.586921; 2.231845; 2.852565; -2.678304; 0; 0; 243; 64; 
1046.039551; 29.805908; -39.188232; 29.591675; -26.405640; 0.524509; -0.468089; 2.005544; -1.809997; 1.081801; -14.265678; -1.607278; 2.223250; 2.797327; -2.800989; 0; 0; 244; 64; 
1046.043457; 30.261841; -39.600220; 30.053101; -26.828613; 0.532644; -0.475486; 2.027498; -1.830119; 1.085420; -14.488632; -1.553328; 2.132994; 2.696615; -2.765893; 0; 0; 245; 64; 
1046.047485; 30.717773; -40.012207; 30.514526; -27.251587; 0.540671; -0.482944; 2.028503; -1.849270; 1.089039; -14.711395; -1.607729; 2.054461; 2.739341; -2.554094; 0; 0; 246; 64; 
1046.051514; 31.173706; -40.012207; 30.964966; -27.669067; 0.548455; -0.490287; 2.003894; -1.846130; 1.092731; -14.926824; -1.801666; 2.077122; 3.019807; -2.074343; 0; 0; 247; 64; 
1046.055542; 31.624146; -40.836182; 31.426392; -28.092041; 0.556582; -0.497580; 2.026355; -1.829361; 1.096230; -15.149299; -1.748669; 2.107207; 3.049409; -1.975463; 0; 0; 248; 64; 
1046.059570; 32.085571; -41.248169; 31.887817; -28.515015; 0.564764; -0.505006; 2.046620; -1.830733; 1.099609; -15.371534; -1.717583; 2.023985; 2.688375; -2.338328; 0; 0; 249; 64; 
1046.063599; 32.541504; -41.660156; 32.338257; -28.943481; 0.572534; -0.512465; 2.010004; -1.843572; 1.103109; -15.593531; -1.955893; 1.937636; 2.712790; -2.445448; 0; 0; 250; 64; 
1046.067505; 32.991943; -42.077637; 32.799683; -29.366455; 0.580463; -0.519870; 2.000964; -1.849285; 1.106536; -15.815430; -2.015959; 1.914194; 3.134556; -2.413709; 0; 0; 251; 64; 
1046.071533; 33.442383; -42.489624; 33.261108; -29.783936; 0.588630; -0.527192; 2.026794; -1.843950; 1.109724; -16.037186; -1.931525; 1.948576; 3.215125; -2.418897; 0; 0; 252; 64; 
1046.075562; 33.903809; -42.489624; 33.717041; -30.212402; 0.596632; -0.534725; 2.028069; -1.861898; 1.112912; -16.251463; -2.002773; 1.854805; 3.147374; -2.056642; 0; 0; 253; 64; 
1046.079590; 34.354248; -43.313599; 34.172974; -30.640869; 0.604495; -0.542233; 2.012001; -1.864716; 1.113431; -16.472645; -2.151384; 1.806356; 3.340556; -1.780145; 0; 0; 254; 64; 
1046.083618; 34.810181; -43.725586; 34.639893; -31.069336; 0.612687; -0.549626; 2.037159; -1.850042; 1.113431; -16.693586; -2.079385; 1.821594; 3.285928; -2.032838; 0; 0; 255; 64; 
1046.087646; 35.260620; -44.137573; 35.101318; -31.492310; 0.620809; -0.556956; 2.045028; -1.839645; 1.113431; -16.914335; -2.103803; 1.845428; 2.857753; -2.302622; 0; 0; 0; 64; 
1046.091553; 35.716553; -44.549561; 35.551758; -31.920776; 0.628624; -0.564549; 2.009672; -1.865336; 1.113431; -17.134748; -2.306915; 1.708677; 2.894681; -2.357860; 0; 0; 1; 64; 
1046.095581; 36.166992; -44.961548; 36.013184; -32.349243; 0.636610; -0.572011; 2.003361; -1.870572; 1.113431; -17.354923; -2.329879; 1.705552; 3.338420; -2.223884; 0; 0; 2; 64; 
1046.099609; 36.617432; -44.961548; 36.480103; -32.772217; 0.644834; -0.579440; 2.032016; -1.867833; 1.113431; -17.567667; -2.215412; 1.727822; 3.376873; -1.847896; 0; 0; 3; 64; 
1046.103638; 37.067871; -45.785522; 36.941528; -33.200684; 0.652961; -0.586911; 2.041653; -1.862774; 1.113431; -17.787313; -2.224437; 1.710631; 3.058260; -1.721854; 0; 0; 4; 64; 
1046.107666; 37.518311; -46.203003; 37.397461; -33.634644; 0.660822; -0.594440; 2.013950; -1.863566; 1.113431; -18.006721; -2.395962; 1.648116; 2.964568; -2.005066; 0; 0; 5; 64; 
1046.111694; 37.963257; -46.620483; 37.864380; -34.057617; 0.668954; -0.601769; 2.020440; -1.850356; 1.113431; -18.225937; -2.345723; 1.705551; 2.936186; -2.219916; 0; 0; 6; 64; 
1046.115723; 38.402710; -47.026978; 38.325806; -34.480591; 0.677032; -0.609133; 2.019109; -1.849108; 1.113431; -18.444962; -2.341110; 1.720008; 2.728355; -2.416761; 0; 0; 7; 64; 
1046.119629; 38.847656; -47.438965; 38.781738; -34.903564; 0.684844; -0.616600; 1.987312; -1.862618; 1.113431; -18.663746; -2.477889; 1.679374; 2.850429; -2.457656; 0; 0; 8; 64; 
1046.123657; 39.292603; -47.438965; 39.237671; -35.332031; 0.692781; -0.624141; 1.981267; -1.879640; 1.113431; -18.875051; -2.472273; 1.630143; 3.286843; -2.010254; 0; 0; 9; 64; 
1046.127686; 39.737549; -48.262939; 39.704590; -35.760498; 0.701067; -0.631565; 2.021800; -1.869896; 1.113431; -19.093307; -2.268008; 1.671559; 3.260292; -1.767937; 0; 0; 10; 64; 
1046.131714; 40.177002; -48.674927; 40.171509; -36.183472; 0.709248; -0.638946; 2.038008; -1.854237; 1.113431; -19.311325; -2.219172; 1.707896; 2.655110; -2.112186; 0; 0; 11; 64; 
1046.135742; 40.621948; -49.086914; 40.621948; -36.611938; 0.717062; -0.646425; 1.999541; -1.861162; 1.113431; -19.529055; -2.398218; 1.664135; 2.390515; -2.331919; 0; 0; 12; 64; 
1046.139771; 41.066895; -49.498901; 41.083374; -37.040405; 0.725023; -0.653871; 1.983620; -1.866881; 1.113119; -19.746544; -2.396814; 1.661010; 2.620930; -2.377392; 0; 0; 13; 64; 
1046.143677; 41.500854; -49.910889; 41.544800; -37.463379; 0.733105; -0.661247; 1.991194; -1.864031; 1.112328; -19.963842; -2.296938; 1.709849; 2.709738; -2.396924; 0; 0; 14; 64; 
1046.147705; 41.934814; -49.910889; 42.000732; -37.886353; 0.740969; -0.668620; 1.976785; -1.861503; 1.111226; -20.173758; -2.342464; 1.753219; 2.674947; -2.140568; 0; 0; 15; 64; 
1046.151733; 42.374268; -50.740356; 42.456665; -38.314819; 0.748947; -0.676125; 1.978537; -1.867678; 1.109812; -20.390673; -2.289116; 1.711021; 2.687460; -2.014832; 0; 0; 16; 64; 
1046.155762; 42.808228; -51.152344; 42.923584; -38.743286; 0.757155; -0.683610; 2.004346; -1.867691; 1.107894; -20.607300; -2.111775; 1.690704; 2.467421; -2.242805; 0; 0; 17; 64; 
1046.159790; 43.247681; -51.564331; 43.379517; -39.166260; 0.765162; -0.691026; 1.998054; -1.865358; 1.105569; -20.823687; -2.104555; 1.715319; 2.121342; -2.372204; 0; 0; 18; 64; 
1046.163818; 43.676147; -51.976318; 43.829956; -39.589233; 0.772840; -0.698316; 1.954250; -1.853172; 1.102909; -21.039930; -2.260036; 1.806356; 2.088992; -2.527848; 0; 0; 19; 64; 
1046.167847; 44.104614; -52.388306; 44.280396; -40.012207; 0.780679; -0.705769; 1.941754; -1.864045; 1.099865; -21.255934; -2.220426; 1.782913; 2.327647; -2.624592; 0; 0; 20; 64; 
